# default values for physical variables
id;value;name;description
param_value.gamma___;1.679033e-06;Percolation;Percolation coefficient (1/s)
param_value.kappa___;1e-04;Adsorption;Adsorption coefficient (1/s)
param_value.beta____;1.576345e-06;Hypodermic flow;Hypodermic flow coefficient (1/s)
param_value.alpha___;1e-03;Hillslope flow;Hillslope flow coefficient (1/s)
param_value.CHfac___;0.5;Multiplying factor of turbulent exchange;Multiplying factor of turbulent exchange coeff. for heat (-)
param_value.chafac__;1.0;Scale factor for fraction of channalized flow;Scale factor for fraction of channalized flow (-)
param_value.Tcost___;2.950e+02;Deep ground temperature;Deep ground temperature (K)
param_value.kaps____;0.8;Soil thermal conductivity;Soil thermal conductivity (W/mK)
param_value.nis_____;1.0e-05;Soil thermal diffusivity;Soil thermal diffusivity (m^2/s)
param_value.wcel____;5.180;Flood wave celerity;Flood wave celerity in channels (m/s)
param_value.celerfac;1.0;Scale factor for wave celerity;Scale factor for wave celerity in channels (-)
param_value.Br0_____;1.0;Width of channels;Width of channels with first Strahler order (-)
param_value.NBr_____;1.5;Exponent of the width channel order relation;Exponent of the realtion B=O^N, where B=Width of channels and O=Strahler order (positive number > 1)
param_value.n_Man___;3.0e-02;Manning roughness;Manning roughness coefficient for channels (s/m^(1/3))
param_value.glo_loss;0.0;Global water loss;Global water loss from aquifers (m^3/s)
### end ###
