# id =  identificativo del tipo di suolo
# ks = conducibilità idraulica (mm/ora)
# Wg0 = contenuto idrico del suolo a saturazione (mm)
# Wc0 = contenuto idrico del suolo a comportamento capillare (mm)
id;ks;Wg0;Wc0
12;3.025;260.587;143.709
13;3.229;288.019;160.314
14;0.373;172.737;177.363
16;2.799;290.257;168.887
18;2.420;292.726;182.448
37;0.447;204.658;218.299
40;0.686;224.665;216.361
42;2.374;188.461;71.989
43;0.330;180.455;250.027
44;0.378;191.215;245.064
45;2.344;219.208;135.682
46;0.914;241.343;217.610
47;0.686;224.665;216.361
48;1.870;166.867;97.091
49;1.952;268.964;154.661
50;2.213;300.100;183.338
51;0.270;205.891;240.736
52;0.723;249.430;131.961
53;1.423;160.856;81.164
54;1.468;191.840;109.137
55;2.751;177.890;87.709
56;2.170;223.833;122.740
57;1.348;174.667;101.026
58;2.280;124.241;62.119
59;1.145;241.478;169.807
60;1.338;174.742;116.194
61;0.253;131.523;102.465
62;1.836;164.837;96.477
63;1.326;153.225;85.872
64;2.048;170.354;93.030
65;1.444;204.981;127.815
66;1.559;203.479;126.818
67;2.329;301.294;180.752
88;1.159;183.476;140.409
89;2.265;210.118;143.961
90;1.445;166.875;106.524
91;1.696;206.495;104.582
92;2.420;221.588;130.187
93;1.236;220.869;137.956
94;1.609;245.655;153.619
95;5.409;305.336;172.712
125;2.385;273.380;163.309
126;8.357;273.293;106.861
127;2.391;277.365;176.797
128;2.459;274.575;136.299
130;1.130;227.042;193.800
131;1.247;244.021;222.347
132;1.696;206.495;104.582
133;2.740;286.718;113.546
135;1.840;253.702;131.059
136;2.807;288.341;188.260
137;7.723;292.050;92.175
178;3.088;273.960;127.923
179;2.722;224.475;103.124
181;6.686;273.235;136.269
182;2.596;83.794;29.747
183;1.098;173.096;61.507
184;11.322;243.941;83.393
185;4.282;253.002;97.332
186;1.952;268.964;154.661
187;1.952;268.964;154.661
188;1.270;309.933;201.629
190;2.811;147.350;69.173
191;0.394;181.669;191.249
209;0.358;211.248;219.905
210;0.735;243.252;238.723
211;1.300;286.270;157.233
212;1.465;285.151;145.896
214;0.060;151.895;272.686
